Game Title,Year,Publisher,North America,Europe,Japan,Rest of World,Global,Number of Reviews,Summary,Wishlist,Platform,Genre,Rating
Final Fantasy XIII-2,2007.0,,0.08,0.02,0.0,0.01,0.17,482.0,"FINAL FANTASY XIII-2 is created with the aim of surpassing the quality of its predecessor in every way, featuring new gameplay systems and cutting-edge visuals and audio. In this game the player has the freedom to choose from a range of possibilities and paths; where their choices affect not only the immediate environment, but even shape time and space!",449.0,2600,Adventure,7.177650538598899
Final Fantasy IV,2007.0,,0.08,0.02,0.0,0.01,0.17,530.0,"FINAL FANTASY IV is the fourth main installment in the FINAL FANTASY series, developed and published by Squaresoft. It was released in July 1991 for the Super Nintendo Entertainment System in Japan, and released as FINAL FANTASY II in North America in October 1991 with alterations made due to Nintendo of America's guidelines at the time.
             

              The game saw a rerelease in Japan on the WonderSwan Color and a global release on PlayStation under its original name as part of the FINAL FANTASY CHRONICLES and FINAL FANTASY ANTHOLOGY collections.",379.0,2600,RPG,7.10132110645917
FIFA 23,2007.0,,0.08,0.02,0.0,0.01,0.17,47.0,"FIFA 23 brings The World’s Game to the pitch, with HyperMotion2 Technology that delivers even more gameplay realism, men’s and women’s FIFA World Cup coming during the season, women’s club teams, cross-play features, and more.",36.0,2600,Sport,7.200506758182175
FIFA 14,2007.0,,0.08,0.02,0.0,0.01,0.17,92.0,FIFA 14 is a 2013 sports association football simulation video game developed by EA Canada and published by Electronic Arts.,13.0,2600,Sport,7.328707838440691
FIFA 13,2007.0,,0.08,0.02,0.0,0.01,0.17,62.0,"FIFA 13 captures the drama and unpredictability of real-world football. The game creates a true battle for possession across the entire pitch, delivers freedom and creativity in attack, and connects fans to the heartbeat of the sport - and to each other - through EA SPORTS Football Club. FIFA 13 features five breakthrough gameplay innovations which revolutionize artificial intelligence, dribbling, ball control and physical play, as well as engaging online features and live services.
             

              FIFA 13 with Kinect enables you to use voice commands to manage your club’s line-up and tactics without pausing the game, shout directions on the pitch in Be A Pro, and forces you to temper the way you talk to officials.",12.0,2600,Simulator,7.171152715897641
F.E.A.R.,2007.0,,0.08,0.02,0.0,0.01,0.17,564.0,"F.E.A.R. is a horror FPS that resembles a cross between Doom 3, Half-Life, and the Ring horror movies. Demons are replaced by cloned soldiers and the element of horror revolves around an image of a spectral girl always appearing when least expected for a few fleeting moments. The player sets out as a member of a specialized strike force dealing with unknown threats. Initially, the player starts with mundane weapons, which are well presented, and progress gradually towards more sci-fi ones as the danger increases. The player can also call upon a bullet-time ability which slows down time around the player and is realised with impressive visual and aural effects by the game engine.",505.0,2600,Shooter,7.242540109276932
Super Mario Odyssey,2007.0,,0.08,0.02,0.0,0.01,0.17,2.9K,"Explore incredible places far from the Mushroom Kingdom as you join Mario and his new ally Cappy on a massive, globe-trotting 3D adventure. Use amazing new abilities, like the power to capture and control objects, animals, and enemies to collect Power Moons so you can power up the Odyssey airship and save Princess Peach from Bowser’s wedding plans!",2.0K,2600,Platform,7.318992206595285
Pikmin 3,2007.0,,0.08,0.02,0.0,0.01,0.17,388.0,"Explore an alien world like no other in the third edition of Nintendo's strategic adventure series. In Pikmin 3, players take command of three explorers and a legion of adorable Pikmin in a fight for survival. By employing the unique abilities of these tiny Pikmin creatures, players will solve puzzles, battle dangerous predators, and recover food needed to save the explorers’ depleted home planet.",385.0,2600,Adventure,7.326544658346641
Disney Dreamlight Valley,2007.0,,0.08,0.02,0.0,0.01,0.17,130.0,Explore a world filled with the magic of Disney as you discover rich stories and build the perfect neighbourhood alongside Disney and Pixar Heroes and Villains in this new life-sim adventure game. Welcome to Disney Dreamlight Valley.,136.0,2600,Adventure,7.179046785131712
NEO: The World Ends with You,2007.0,,0.08,0.02,0.0,0.01,0.17,725.0,"Explore a stylized recreation of Shibuya, as you take on the role of Rindo to battle for survival and unravel the mysteries of the deadly “Reaper’s Game” in this new Action RPG and follow-up to the classic RPG hit ""The World Ends with You.""",2.0K,2600,RPG,7.290088669266453
Watch Dogs 2,2007.0,,0.08,0.02,0.0,0.01,0.17,554.0,"Explore a massive and dynamic open world offering an incredible variety of gameplay possibilities. Hack your way through traffic while you engage in dangerous car chases through the winding streets of San Francisco, traverse the rooftops of the colorful and vibrant neighborhoods of Oakland, and infiltrate the cutting-edge offices of Silicon Valley companies. There are many secrets to uncover in the birthplace of the tech revolution.",453.0,2600,Adventure,7.38204191779757
Sonic Mania,2007.0,,0.08,0.02,0.0,0.01,0.17,1.3K,Experience the ultimate celebration of past and future in Sonic Mania! Re-live the Sonic of the past with an exciting new twist on classic zones while fighting against new bosses and Dr. Eggman’s evil robot army. Go head to-head with players in Competition Mode or play in Co-Op Mode with a friend.,786.0,2600,Platform,7.285549750062941
Halo: Reach,2010.0,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,1.2K,"Experience the story before the events of Halo: Combat Evolved as you fight to defend the planet Reach from a harrowing Covenant invasion. In this first-person shooter you can customize your own Spartan with armor and accessories to experience both a pulse-pounding campaign and addictive multiplayer mode. Reach will fall, but it won't go down without a fight.",370.0,X360,Shooter,9.247347025943254
World of Horror,2007.0,,0.08,0.02,0.0,0.01,0.17,257.0,Experience the quiet terror of this 1-bit love letter to Junji Ito and H.P. Lovecraft. Navigate a hellish roguelite reality with turn-based combat and unforgiving choices. Experiment with your deck of event cards to discover new forms of cosmic horror in every playthrough. The inevitable awaits...,949.0,2600,Point-and-Click,7.131211923761913
LEGO Harry Potter: Years 1-4,2007.0,,0.08,0.02,0.0,0.01,0.17,349.0,"Experience the magic of Harry Potter's first 4 years at Hogwarts School of Witchcraft and Wizardry in an exciting new way. LEGO Harry Potter: Years 1-4 combines the first four Harry Potter books and films in an interactive fun-filled videogame. Players can build the adventure from Privet Drive to the Triwizard Tournament through new LEGO gameplay elements like magical building and spell-casting.
             

              Select from over 100 playable characters including Harry Potter, Ron Weasley and Hermione Granger. Experience the wonder of Hogwarts: attend lessons, mix potions, fly on broomsticks, and complete tasks to collect LEGO studs and relive the adventures like never before with tongue-in-cheek humor and creative customization unique to LEGO videogames.",113.0,2600,Platform,7.185048130416807
Street Fighter V,2007.0,,0.08,0.02,0.0,0.01,0.17,377.0,"Experience the intensity of head-to-head battle with Street Fighter V! Choose from 16 iconic characters, each with their own personal story and unique training challenges, then battle against friends online or offline with a robust variety of match options. Earn Fight Money in Ranked Matches, play for fun in Casual Matches or invite friends into a Battle Lounge and see who comes out on top!",166.0,2600,Arcade,7.27258889935123
Mega Man,2007.0,,0.08,0.02,0.0,0.01,0.17,639.0,"Experience the game that started it all! Play as cybernetic hero Mega Man as you battle to stop the evil scientist Dr. Wily and his Robot Masters from taking over the world! A classic platformer in every sense of the word, Mega Man features timeless 8-bit graphics, a memorable soundtrack, and balanced but challenging gameplay that combine to create one of the most iconic video games of all time.
             

              Mega Man, known as Rockman in Japan, is a 1987 action-platform video game developed and published by Capcom for the Nintendo Entertainment System (NES). It was directed by Akira Kitamura, with Nobuyuki Matsushima as lead programmer, and is the first game of the Mega Man franchise and the original video game series. Mega Man was produced by a small team specifically for the home console market, a first for Capcom, who previously focused on arcade titles.",152.0,2600,Adventure,7.158943173233996
Yakuza 5 Remastered,2007.0,,0.08,0.02,0.0,0.01,0.17,665.0,"Experience the fifth chapter of the Kazuma Kiryu saga in 1080p and 60fps. Get ready for a Yakuza experience of unprecedented scale! Follow five characters across five Japanese cities, each trying to achieve their dream. The connections between them bring them together, but the conflict that unfolds is nothing any of them could have predicted.",852.0,2600,Adventure,7.353309477761303
Naruto Shippuden: Ultimate Ninja Storm 4,2016.0,Namco Bandai Games,0.19,0.06,0.0,0.03,0.28,264.0,"Experience the exhilarating full-adventure Naruto Shippuden and follow Naruto Uzumaki on all his fights.
             

              With more than 12 million Naruto Shippuden Ultimate Ninja STORM games sold worldwide, this series established itself among the pinnacle of Anime & Manga adaptations on videogames! As every good story comes to an end Naruto Shippuden: Ultimate Ninja Storm 4 is going to be the ultimate STORM game! For the first time ever, a Naruto/Naruto Shippuden game will take advantage of the graphics power of the new generation of consoles.",134.0,XOne,Fighting,7.291135913216697
Tekken 7,2007.0,,0.08,0.02,0.0,0.01,0.17,663.0,"Experience the epic conclusion of the Mishima clan and unravel the reasons behind each step of their ceaseless fight. Powered by Unreal Engine 4, Tekken 7 features stunning story-driven cinematic battles and intense duels that can be enjoyed with friends and rivals alike through innovative fight mechanics.",354.0,2600,Fighting,7.316374036605768
The Last of Us Part I,2007.0,,0.08,0.02,0.0,0.01,0.17,395.0,"Experience the emotional storytelling and unforgettable characters of Joel and Ellie in The Last of Us, winner of over 200 Game of the Year awards and now rebuilt for PlayStation 5.
             

              Enjoy a total overhaul of the original experience, faithfully reproduced but incorporating modernized gameplay, improved controls and expanded accessibility options. Plus, feel immersed with improved effects and enhanced exploration and combat.
             

              It also includes the Left Behind story DLC.",1.1K,2600,Shooter,7.091228631415326
Ōkami HD,2007.0,,0.08,0.02,0.0,0.01,0.17,527.0,"Experience the critically acclaimed masterpiece with its renowned Sumi-e ink art style in breathtaking high resolution. Take on the role of Amaterasu, the Japanese sun goddess who inhabits the form of a legendary white wolf, on a quest to defeat Orochi, an eight-headed demon and tyrannical monster responsible for turning the world of Nippon into a ruined wasteland.",1.2K,2600,RPG,7.283198436396717
Shadow of the Tomb Raider,2007.0,,0.08,0.02,0.0,0.01,0.17,522.0,"Experience Lara Croft's defining moment.
             

              As Lara Croft races to save the world from a Maya apocalypse, she must become the Tomb Raider she is destined to be.
             

              Become the Tomb Raider",701.0,2600,Adventure,7.368038056408108
Suikoden II,2007.0,,0.08,0.02,0.0,0.01,0.17,433.0,"Experience An Epic Tale of Warfare, Magic, Friendship And Betrayal
             

              -New tactical map battles add a whole level of strategy
              
              -Fantastic spells with stunning animation sequences and specialized attacks
              
              -Over 108 different characters can join your party and help you on your quest
              
              -Unlock hidden storylines using your memory card data from the original Suikoden
              
              -Build up your castle during the game to a thriving virtual community",653.0,2600,RPG,7.175082648350123
Everhood,2007.0,,0.08,0.02,0.0,0.01,0.17,317.0,Expect the unexpected in an ineffable tale of the inexpressible world of Everhood. Amusing rhythmic battles and with a promise to fulfill all your dreams. To simply put it: You are in for a ride.,445.0,2600,RPG,7.299709996457618
Animal Crossing: New Horizons,2007.0,,0.08,0.02,0.0,0.01,0.17,1.6K,"Escape to a deserted island and create your own paradise as you explore, create, and customize in Animal Crossing: New Horizons. Your island getaway has a wealth of natural resources that can be used to craft everything from tools to creature comforts. You can hunt down insects at the crack of dawn, decorate your paradise throughout the day, or enjoy sunset on the beach while fishing in the ocean. The time of day and season match real life, so each day on your island is a chance to check in and find new surprises all year round.",1.1K,2600,Simulator,7.255721446341296
Half-Life 2: Episode One,2007.0,,0.08,0.02,0.0,0.01,0.17,469.0,Episode One is the first in a series of games that reveal the aftermath of Half-Life 2 and launch a journey beyond City 17.,262.0,2600,Shooter,7.031109713880463
Demon's Souls,2007.0,,0.08,0.02,0.0,0.01,0.17,880.0,"Entirely rebuilt from the ground up and masterfully enhanced, Demon's Souls is a remake of the 2009 release that introduces the horrors of a fog-laden, dark fantasy land to a whole new generation of gamers. Those who’ve faced its trials and tribulations before, can once again challenge the darkness in stunning visual quality with incredible performance. The remake features improved graphics and animations, sound and lighting tweaks and a reimagining of many of the visual, musical and mechanical aspects of the original game.",2.1K,2600,Adventure,7.11612090261586
The Dark Pictures Anthology: Man of Medan,2007.0,,0.08,0.02,0.0,0.01,0.17,355.0,"Enter the world of The Dark Pictures - A series of standalone cinematic horror games. Players will be challenged to explore and uncover each story with the knowledge that all their choices have consequences and all playable characters can live, any and all can die...",217.0,2600,Adventure,7.3032756831279215
For Honor,2007.0,,0.08,0.02,0.0,0.01,0.17,236.0,"Enter the chaos of war as a bold Knight, a brutal Viking, or a deadly Samurai. Play the thrilling story campaign or fight in brutal PvP modes, all on new dedicated servers. Enjoy an evolved experience with 18 Heroes, 18 maps, new PvP and ranked modes, thousands of gear items, and more.",91.0,2600,Fighting,7.2368332951300705
Splatoon 3,2007.0,,0.08,0.02,0.0,0.01,0.17,840.0,"Enter the Splatlands, a sun-scorched desert inhabited by battle-hardened Inklings and Octolings. Splatsville, the city of chaos, is the adrenaline-fueled heart of this dusty wasteland. Even in this desolate environment, Turf War reigns supreme and battles rage in new stages located in the surrounding wilds. Dynamic new moves help these fighters dodge attacks and cover more ground, along with a new bow-shaped weapon to sling ink.",1.1K,2600,Platform,7.319476475097536
Enter the Gungeon,2007.0,,0.08,0.02,0.0,0.01,0.17,632.0,"Enter the Gungeon is a gunfight dungeon crawler following a band of regretful misfits seeking to shoot, loot, dodge roll and table-flip their way to personal absolution by reaching the legendary Gungeon’s ultimate treasure: the gun that can kill the past. Select a hero and battle your way to the bot¬tom of the Gungeon by surviving a challenging and evolving series of floors filled with the dangerously adorable Gundead and fearsome Gungeon bosses armed to the teeth. Gather precious loot, discover hidden secrets, and chat with opportunistic merchants and shopkeepers to purchase powerful items to gain an edge.",441.0,2600,Shooter,7.044085486208781
Sekiro: Shadows Die Twice,2007.0,,0.08,0.02,0.0,0.01,0.17,2.3K,"Enter a dark and brutal new gameplay experience from the creators of Bloodborne and the Dark Souls series. Sekiro: Shadows Die Twice is an intense, third-person, action-adventure set against the bloody backdrop of 14th-century Japan. Step into the role of a disgraced warrior brought back from the brink of death whose mission is to rescue his master and exact revenge on his arch nemesis.
             

              Take Revenge. Restore Your Honor. Kill Ingeniously.",3.4K,2600,Adventure,7.1269863279047385
Garten of Banban,2007.0,,0.08,0.02,0.0,0.01,0.17,26.0,"Enter Banban's Kindergarten, and you're sure to make some friends. Explore the mysterious establishment and don't lose your life and sanity. Uncover the horrifying truth behind the place, but be careful, as you are far from alone…",4.0,2600,Indie,7.201106299467488
Diablo IV,2007.0,,0.08,0.02,0.0,0.01,0.17,148.0,"Endless demons to slaughter. Deep customization through Talents, Skill Points, Runes, and Legendary loot. Randomized dungeons contained in a dynamic open world. Survive and conquer darkness—or succumb to the shadows.",677.0,2600,RPG,7.179333135407108
Ender Lilies: Quietus of the Knights,2007.0,,0.08,0.02,0.0,0.01,0.17,275.0,"Ender Lilies is a dark fantasy 2D Action RPG about unraveling the mysteries of a nation destroyed by a cataclysmic event. The fallen Kingdom of End is a tragic and beautiful world featuring a majestic castle, submerged forests and forbidden underground areas.
             

              On this sorrowful journey, encounter horrific enemies against whom a moment of inattention could be fatal. By releasing foes from their undying curse, you may gain their strength. Overcome the hardships of your journey and uncover the truth with the aid of the fallen knights.",1.0K,2600,RPG,7.112552402365695
Touhou Koumakyou: The Embodiment of Scarlet Devil,2007.0,,0.08,0.02,0.0,0.01,0.17,217.0,"Embodiment of Scarlet Devil features two playable characters to choose from, with two Spell Card types each. Reimu Hakurei can cover a wide area of the screen with weaker attacks, while Marisa Kirisame relies on her speed and power to make up for her thinner attack spread. The bombs show different behavior and damage depending on the character and type chosen.
             

              Unlike its predecessor, Mystic Square, Embodiment of Scarlet Devil comes with an ""automatic item collection"" feature, which allows you to collect all items on the screen by moving to the top of the screen if you are at full power, as well as a counter-bomb system, which allows you to avoid a fatal hit by using a bomb immediately.
             

              Though there are six total stages in the main game, playing on Easy will end the game after Stage 5.",178.0,2600,Shooter,7.101606845347315
It Takes Two,2007.0,,0.08,0.02,0.0,0.01,0.17,1.3K,"Embark on the craziest journey of your life in It Takes Two, a genre-bending platform adventure created purely for co-op. Invite a friend to join for free with Friend’s Pass and work together across a huge variety of gleefully disruptive gameplay challenges. Play as the clashing couple Cody and May, two humans turned into dolls by a magic spell. Together, trapped in a fantastical world where the unpredictable hides around every corner, they are reluctantly challenged with saving their fractured relationship.",2.1K,2600,Puzzle,6.442416452242412
Tiny Tina's Wonderlands,2007.0,,0.08,0.02,0.0,0.01,0.17,224.0,"Embark on an epic adventure full of whimsy, wonder, and high-powered weaponry! Bullets, magic, and broadswords collide across this chaotic fantasy world brought to life by the unpredictable Tiny Tina.",537.0,2600,RPG,7.355709553102206
Star Wars Battlefront II,2007.0,,0.08,0.02,0.0,0.01,0.17,534.0,"Embark on an endless Star Wars action experience from the best-selling Star Wars HD video game franchise of all time. Experience rich multiplayer battlegrounds across all 3 eras - prequel, classic and new trilogy - or rise as a new hero and discover an emotionally gripping single-player story spanning thirty years.
             

              Customise and upgrade your heroes, starfighters or troopers - each with unique abilities to exploit in battle. Ride tauntauns or take control of tanks and speeders. Use the Force to prove your worth against iconic characters like Kylo Ren, Darth Maul or Han Solo, as you play a part in a gaming experience inspired by forty years of timeless Star Wars films.",140.0,2600,Adventure,7.1171522416671165
Pokémon Mystery Dungeon: Explorers of Time,2007.0,,0.08,0.02,0.0,0.01,0.17,186.0,"Embark on a journey after you get turned into a Pokémon as a result of a freak accident, causing you to lose your memory as well as contact with and knowledge of your previous adventuring partner, with whom you were on a secret mission to save the world. Watch your story unfold in a dungeon crawling rogue-lite experience as you form your very own rescue team with a new partner of your choosing.",136.0,2600,Turn Based Strategy,7.301344289076861
Shantae and the Pirate's Curse,2007.0,,0.08,0.02,0.0,0.01,0.17,392.0,"Embark on a brand new adventure with Shantae, the hair-whipping belly dancing genie. When she loses her magic, Shantae must team up with her nemesis, the nefarious pirate Risky Boots in order to save Sequin Land from an evil curse. As a pirate, Shantae gains new weapons to advance her quest, slay monsters, battle epic bosses…and hopefully get her magic back in the bargain! But can she really trust her deadliest enemy?
             

              The third Shantae game is the biggest yet! Beyond Sequin Land lie cursed islands and labyrinths each hiding a new piece of Pirate Gear - Flintlock Pistol, Pirate Hat, Scimitar, Risky's Boots, and even a Cannon. Upgrade Shantae's hair and weapons or unlock advanced Fighter's Moves. Locate maps, return lost Heart Squids, collect rare loot, and laugh out loud at the weird, wild, and wonderfully humorous cast of characters. Incredible stereoscopic visuals, unlockable Pirate-Mode, multiple endings, and an unforgettable soundtrack make this one game you won't want to miss!",449.0,2600,Indie,7.168094630459602
Elden Ring,2007.0,,0.08,0.02,0.0,0.01,0.17,3.9K,"Elden Ring is a fantasy, action and open world game with RPG elements such as stats, weapons and spells. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.",4.8K,2600,RPG,7.302117818273696
Hyper Light Drifter,2007.0,,0.08,0.02,0.0,0.01,0.17,599.0,"Echoes of a dark and violent past resonate throughout a savage land, steeped in treasure and blood. Hyper Light Drifter is an action adventure RPG in the vein of the best 16­-bit classics, with modernized mechanics and designs on a much grander scale.",981.0,2600,RPG,7.105786026372871
EarthBound Beginnings,2007.0,,0.08,0.02,0.0,0.01,0.17,395.0,"EarthBound Beginnings is the first installment in the EarthBound / Mother series. It was developed by Ape Inc., Nintendo Tokyo R&D Products, and Pax Softnica, and was published by Nintendo for the Famicom on July 27, 1989.
             

              Though officially translated into English under the name EarthBound in 1990 complete with a variety of updates and new content, the planned release of the North American localization was ultimately cancelled due to Nintendo of America ending support for the Nintendo Entertainment System.
             

              Despite this, the updates made to the game for the English localization was included in the Japanese Mother 1+2 rerelease for Game Boy Advance in 2003. The English version was finally released on the Wii U Virtual Console on June 14th, 2015, 25 years after its intended release date.",380.0,2600,Adventure,7.199870510469945
Sin and Punishment,2000.0,Nintendo,0.0,0.0,0.13,0.0,0.13,459.0,"Earth is under threat from Ruffians - mutants bred to boost dwindling food stocks who have turned against their masters. As a young resistance fighter, face an onslaught of bio-genetic monsters and corrupt military forces in your battle to save the planet.
             

              For the first time outside of Japan, you can experience the non-stop action of this Nintendo 64 classic, created by the shoot em up masters at Treasure Co. Ltd.
             

              Battle across land, sea and sky; collect energy, time and point bonuses; rack up massive combos to earn extra continues; and face the wrath of enormous bosses. Plus - invite a friend to join in, controlling the gun sight while you move the character.",550.0,N64,Shooter,6.854483065051935
Mass Effect 3,2007.0,,0.08,0.02,0.0,0.01,0.17,777.0,"Earth is burning. The Reapers have taken over and other civilizations are falling like dominoes. Lead the final fight to save humanity and take back Earth from these terrifying machines, Commander Shepard. You'll need backup for these battles. Fortunately, the galaxy has a habit of sending unexpected species your way. Recruit team members and forge new alliances, but be prepared to say goodbye at any time as partners make the ultimate sacrifice. It's time for Commander Shepard to fight for the fate of the human race and save the galaxy. No pressure, Commander.
             

              Fight smarter. Take advantage of new powers and combat moves. Shepard can now blind fire at enemies and build tougher melee attacks. Plus, when you fight as a team you can combine new biotic and tech powers to unleash devastating Power Combos.
             

              Build the final force. Build a team from a variety of races and classes and combine their skills to overcome impossible odds. You'll be joined by newcomers like James Vega, a tough-as-nails soldier, as well as EDI, a trusted AI in a newly acquired physical form. Keep an eye out for beloved characters from your past, but beware. Some may not survive the final battle...
             

              Face off against friends. Enjoy an integrated co-op multiplayer mode and team up with friends online to liberate key conflict zones from increasingly tough opponents. Customize your warrior and earn new weapons, armor, and abilities to build war preparedness stats in your single player campaign.",482.0,2600,RPG,7.31513294860292
Phoenix Wright: Ace Attorney - Dual Destinies,2007.0,,0.08,0.02,0.0,0.01,0.17,430.0,"Dual Destinies continues the style of gameplay from previous installments, in which the player must utilize evidence and find contradictions in witness statements to prove their client innocent. Like previous installments, gameplay is split up between Investigations, in which players find evidence and question witnesses, and Trials, where they must use the evidence to expose contradictions. The game now features full 3D graphics and character models, allowing more dynamic camera angles during gameplay, such as quickly panning around the courtroom in the moments before a dramatic reveal. The 3D camera also allows investigation sequences to take place in 3D spaces, permitting greater investigative depth, such as being able to rotate around a room to look for clues.",497.0,2600,RPG,7.167668808412172
Drakengard 3,2007.0,,0.08,0.02,0.0,0.01,0.17,503.0,"Drakengard 3 transports players to a medieval world where six goddess-like sisters known as ""Intoners"" have brought peace to the earth with their power to manipulate magic through song. Harmony is disrupted, however, when the eldest sister, Zero, attempts to murder her younger sisters with the help of her dragon companion, Mikhail. As the story progresses, players find themselves in a battle to unravel the mystery of Zero and learn her true intentions.
             

              A prequel to the original Drakengard, Drakengard 3 features the series’ signature brand of action, pitting players against hordes of fiends and foes in remorseless hack-and-slash ground combat, and then sending them soaring for pitched aerial battles on the back of the dragon Mikhail.",946.0,2600,RPG,7.110053342600482
Dragon's Dogma: Dark Arisen,2007.0,,0.08,0.02,0.0,0.01,0.17,458.0,"Dragon’s Dogma: Dark Arisen contains all the content from the original Dragon’s Dogma plus the additional content from its sequel, including the Bitterblack Isle area, filled with challenging new enemies and quests, and additional high level weapons and armour sets. Along with its stunningly high resolution graphics and full Steam platform support, this is the ultimate franchise experience for PC players.
             

              Set in a huge open world, Dragon’s Dogma: Dark Arisen presents a rewarding action combat experience. Players embark on an epic adventure in a rich, living world with three AI companions, known as Pawns. These partners fight independently, demonstrating prowess and ability that they have developed based on traits learnt from each player. PC users can share these Pawns online and reap rewards of treasure, tips and strategy hints for taking down the terrifying enemies. Pawns can also be borrowed when specific skills are needed to complete various challenging quests.",469.0,2600,RPG,7.179669252058453
Dragon Ball Z: Budokai Tenkaichi,2005.0,Atari,0.96,0.12,0.54,0.04,1.66,96.0,"Dragon Ball Z: Budokai Tenkaichi lets you play as more than 60 characters from the Dragon Ball Z TV series. You can battle using authentic special attacks of each character as you run, fly, and swim through fully destructible and free-roaming levels. Design your own character by assigning and upgrading 10 different attributes. Dragon Ball Z: Budokai Tenkaichi has multiple game modes for both one and two players.",29.0,PS2,Fighting,7.686
Dragon Ball: Xenoverse,2007.0,,0.08,0.02,0.0,0.01,0.17,198.0,"Dragon Ball Xenoverse is the first installment of the Xenoverse series and the Dragon Ball game developed by Dimps. It is the first fighting game to feature full 3D battles similar to the Budokai Tenkaichi series. Fighters can traverse the levels free-roaming in large spaces and can fight on ground, in the air and underwater. The game features spoken dialogue from a majority of main characters while in battle, and characters show facial expressions when they strike an opponent or take damage. Although limited, the players have some freedom to explore the planet Earth as it exists in the Dragon Ball universe along with a handful of other locations.",71.0,2600,Fighting,7.286558963785668
Dragon Ball FighterZ,2007.0,,0.08,0.02,0.0,0.01,0.17,603.0,Dragon Ball FighterZ is born from what makes the Dragon Ball series so loved and famous: endless spectacular fights with its all-powerful fighters.,325.0,2600,Fighting,7.457334380852299
Dragon Age: Origins,2007.0,,0.08,0.02,0.0,0.01,0.17,712.0,"Dragon Age: Origins is a third-person role-playing game described as a spiritual successor to Baldur's Gate and Neverwinter Nights franchises. Players create their own character by customizing gender and appearance as well as choosing a race and class. Combat is in real time with the ability to pause at any moment: tactical options include an editor which allows the player to give the AI detailed instructions on how to behave in every possible situation. Although the main storyline is the same for every character created, the game features six unique prologues, two for each race. Dragon Age: Origins received critical acclaim upon release, with praise mostly directed at its story, setting, characters, music and combat system.",534.0,2600,RPG,7.138008647252578
Dragon Age: Origins - Awakening,2007.0,,0.08,0.02,0.0,0.01,0.17,50.0,Dragon Age: Origins - Awakening is the only expansion for Dragon Age: Origins. There are both retail disc and downloadable editions available.,54.0,2600,RPG,7.2628471780671715
Half-Life,2007.0,,0.08,0.02,0.0,0.01,0.17,1.3K,"Dr. Gordon Freeman doesn't speak, but he's got a helluva story to tell. This first-person roller-coaster initiated a new era in the history of action games by combining engrossing gameplay, upgraded graphics, ingenious level design and a revolutionary story that may not be all that it seems, told not through cutscenes, but through the visual environment.",892.0,2600,Puzzle,6.613360919212246
Downwell,2007.0,,0.08,0.02,0.0,0.01,0.17,363.0,Downwell is a curious game about a young man with guns for boots venturing down a well in search of untold treasures. Make your way further and further down into a darkness filled with nasty creatures and mysterious secrets and collect the spectacular red gems scattered about the rocks. Step into an oddly placed shop to buy some helpful items or level up between caverns to battle well dwelling monsters and uncover hidden caves filled with riches and relics. No two trips down the well are ever the same!,219.0,2600,Indie,7.066976477182277
Donut County,2007.0,,0.08,0.02,0.0,0.01,0.17,695.0,"Donut County is a story-based physics puzzle game where you play as an ever-growing hole in the ground. Meet cute characters, steal their trash, and throw them in a hole.",496.0,2600,Indie,7.18382849302891
Donkey Kong Country: Tropical Freeze,2007.0,,0.08,0.02,0.0,0.01,0.17,373.0,"Donkey Kong, Diddy Kong, Dixie Kong and Cranky Kong return for the franchise’s debut on Nintendo Switch. This title includes all the fun and challenge of the original game, plus a new beginner-friendly mode that lets players enjoy this critically acclaimed adventure as groovy surfing simian Funky Kong. Funky Kong can double jump, hover, perform infinite rolls and even perform infinite underwater corkscrews. Thanks to his sturdy surfboard, even spikes can’t slow him down. The game launches for Nintendo Switch on May 4.",500.0,2600,Platform,7.121911812629087
Donkey Kong Country,1994.0,Nintendo,4.36,1.71,3.0,0.23,9.3,1.3K,"Donkey Kong Country is a side scrolling platformer by British developers Rare in 1994. It featured revolutionary pre-rendered 3D graphics that give the game a very unique look compared to most other games on consoles at the time. The two playable characters featured in the game are the titular character, Donkey Kong and his nephew, Diddy Kong. Together the two swing, climb, jump, swim, cartwheel, ride animals, and blast out of barrels on their way to recover their stolen bannanas from the evil King K. Rool and his Kremling army. The adventure takes you through a variety of different environments and levels that continually change up gameplay. Donkey Kong Country also provides plenty of opportunities for exploration with almost every level having a multitude of collectible, shortcuts, and hidden bonus areas.",514.0,SNES,Platform,9.0
Donkey Kong Country 2: Diddy's Kong Quest,2007.0,,0.08,0.02,0.0,0.01,0.17,1.2K,Donkey Kong Country 2: Diddy's Kong Quest is the sequel to Donkey Kong Country. It was developed by Rare and is one of the best selling Super Nintendo games.,455.0,2600,Adventure,7.339882664472475
DmC: Devil May Cry,2007.0,,0.08,0.02,0.0,0.01,0.17,432.0,"DmC: Devil May Cry is the fifth game in the hack-and-slash third-person action series and the first not largely developed by Capcom. This title is a reimagining of the series, with the same protagonist Dante, but set in an alternate universe. The Dante in this game is very different from before, doing away with the trademark white hair and altering the main character as well as the game's tone with a much more Western influence. The gameplay is still largely identical as Dante engages many opponents with a fast fighting style, stringing together combos and hits in quick succession.",448.0,2600,Adventure,7.253644829710804
